"'burbs, The (1989)","'burbs, The (1989)"
(500) Days of Summer (2009),(500) Days of Summer (2009)
10 Cloverfield Lane (2016),10 Cloverfield Lane (2016)
10 Things I Hate About You (1999),10 Things I Hate About You (1999)
"10,000 BC (2008)","10,000 BC (2008)"
101 Dalmatians (1996),101 Dalmatians (1996)
101 Dalmatians (One Hundred and One Dalmatians) (1961),101 Dalmatians (One Hundred and One Dalmatians) (1961)
12 Angry Men (1957),12 Angry Men (1957)
12 Years a Slave (2013),12 Years a Slave (2013)
127 Hours (2010),127 Hours (2010)
13 Going on 30 (2004),13 Going on 30 (2004)
"13th Warrior, The (1999)","13th Warrior, The (1999)"
1408 (2007),1408 (2007)
1984 (Nineteen Eighty-Four) (1984),1984 (Nineteen Eighty-Four) (1984)
2 Days in the Valley (1996),2 Days in the Valley (1996)
"2 Fast 2 Furious (Fast and the Furious 2, The) (2003)","2 Fast 2 Furious (Fast and the Furious 2, The) (2003)"
"20,000 Leagues Under the Sea (1954)","20,000 Leagues Under the Sea (1954)"
2001: A Space Odyssey (1968),2001: A Space Odyssey (1968)
2010: The Year We Make Contact (1984),2010: The Year We Make Contact (1984)
2012 (2009),2012 (2009)
21 (2008),21 (2008)
21 Grams (2003),21 Grams (2003)
21 Jump Street (2012),21 Jump Street (2012)
22 Jump Street (2014),22 Jump Street (2014)
25th Hour (2002),25th Hour (2002)
27 Dresses (2008),27 Dresses (2008)
28 Days (2000),28 Days (2000)
28 Days Later (2002),28 Days Later (2002)
28 Weeks Later (2007),28 Weeks Later (2007)
30 Days of Night (2007),30 Days of Night (2007)
300 (2007),300 (2007)
"39 Steps, The (1935)","39 Steps, The (1935)"
3:10 to Yuma (2007),3:10 to Yuma (2007)
40 Days and 40 Nights (2002),40 Days and 40 Nights (2002)
"40-Year-Old Virgin, The (2005)","40-Year-Old Virgin, The (2005)"
"400 Blows, The (Les quatre cents coups) (1959)","400 Blows, The (Les quatre cents coups) (1959)"
48 Hrs. (1982),48 Hrs. (1982)
50 First Dates (2004),50 First Dates (2004)
50/50 (2011),50/50 (2011)
"6th Day, The (2000)","6th Day, The (2000)"
8 1/2 (8½) (1963),8 1/2 (8½) (1963)
8 Mile (2002),8 Mile (2002)
8MM (1999),8MM (1999)
9 (2009),9 (2009)
A Million Ways to Die in the West (2014),A Million Ways to Die in the West (2014)
"A-Team, The (2010)","A-Team, The (2010)"
A.I. Artificial Intelligence (2001),A.I. Artificial Intelligence (2001)
AVP: Alien vs. Predator (2004),AVP: Alien vs. Predator (2004)
About Schmidt (2002),About Schmidt (2002)
About Time (2013),About Time (2013)
About a Boy (2002),About a Boy (2002)
Absolute Power (1997),Absolute Power (1997)
"Abyss, The (1989)","Abyss, The (1989)"
Accepted (2006),Accepted (2006)
Ace Ventura: Pet Detective (1994),Ace Ventura: Pet Detective (1994)
Ace Ventura: When Nature Calls (1995),Ace Ventura: When Nature Calls (1995)
Across the Universe (2007),Across the Universe (2007)
Adaptation (2002),Adaptation (2002)
Addams Family Values (1993),Addams Family Values (1993)
"Addams Family, The (1991)","Addams Family, The (1991)"
"Adjustment Bureau, The (2011)","Adjustment Bureau, The (2011)"
Adventureland (2009),Adventureland (2009)
Adventures in Babysitting (1987),Adventures in Babysitting (1987)
"Adventures of Baron Munchausen, The (1988)","Adventures of Baron Munchausen, The (1988)"
"Adventures of Buckaroo Banzai Across the 8th Dimension, The (1984)","Adventures of Buckaroo Banzai Across the 8th Dimension, The (1984)"
"Adventures of Priscilla, Queen of the Desert, The (1994)","Adventures of Priscilla, Queen of the Desert, The (1994)"
"Adventures of Tintin, The (2011)","Adventures of Tintin, The (2011)"
Aeon Flux (2005),Aeon Flux (2005)
"African Queen, The (1951)","African Queen, The (1951)"
"Age of Innocence, The (1993)","Age of Innocence, The (1993)"
Air Force One (1997),Air Force One (1997)
Airheads (1994),Airheads (1994)
Airplane II: The Sequel (1982),Airplane II: The Sequel (1982)
Airplane! (1980),Airplane! (1980)
Akira (1988),Akira (1988)
Aladdin (1992),Aladdin (1992)
Aladdin and the King of Thieves (1996),Aladdin and the King of Thieves (1996)
Alice in Wonderland (1951),Alice in Wonderland (1951)
Alice in Wonderland (2010),Alice in Wonderland (2010)
Alien (1979),Alien (1979)
Alien Nation (1988),Alien Nation (1988)
Alien: Resurrection (1997),Alien: Resurrection (1997)
Aliens (1986),Aliens (1986)
Alien³ (a.k.a. Alien 3) (1992),Alien³ (a.k.a. Alien 3) (1992)
All About Eve (1950),All About Eve (1950)
All About My Mother (Todo sobre mi madre) (1999),All About My Mother (Todo sobre mi madre) (1999)
All Dogs Go to Heaven (1989),All Dogs Go to Heaven (1989)
All Dogs Go to Heaven 2 (1996),All Dogs Go to Heaven 2 (1996)
All the President's Men (1976),All the President's Men (1976)
Almost Famous (2000),Almost Famous (2000)
Along Came Polly (2004),Along Came Polly (2004)
Along Came a Spider (2001),Along Came a Spider (2001)
Amadeus (1984),Amadeus (1984)
"Amazing Spider-Man, The (2012)","Amazing Spider-Man, The (2012)"
"Amelie (Fabuleux destin d'Amélie Poulain, Le) (2001)","Amelie (Fabuleux destin d'Amélie Poulain, Le) (2001)"
America's Sweethearts (2001),America's Sweethearts (2001)
American Beauty (1999),American Beauty (1999)
American Gangster (2007),American Gangster (2007)
American Graffiti (1973),American Graffiti (1973)
American History X (1998),American History X (1998)
American Hustle (2013),American Hustle (2013)
American Pie (1999),American Pie (1999)
American Pie 2 (2001),American Pie 2 (2001)
"American President, The (1995)","American President, The (1995)"
American Psycho (2000),American Psycho (2000)
American Sniper (2014),American Sniper (2014)
American Splendor (2003),American Splendor (2003)
"American Tail, An (1986)","American Tail, An (1986)"
American Wedding (American Pie 3) (2003),American Wedding (American Pie 3) (2003)
"American Werewolf in London, An (1981)","American Werewolf in London, An (1981)"
"American in Paris, An (1951)","American in Paris, An (1951)"
Amistad (1997),Amistad (1997)
"Amityville Horror, The (1979)","Amityville Horror, The (1979)"
Amores Perros (Love's a Bitch) (2000),Amores Perros (Love's a Bitch) (2000)
Anaconda (1997),Anaconda (1997)
Analyze This (1999),Analyze This (1999)
Anastasia (1997),Anastasia (1997)
Anchorman 2: The Legend Continues (2013),Anchorman 2: The Legend Continues (2013)
Anchorman: The Legend of Ron Burgundy (2004),Anchorman: The Legend of Ron Burgundy (2004)
And Your Mother Too (Y tu mamá también) (2001),And Your Mother Too (Y tu mamá también) (2001)
Angels & Demons (2009),Angels & Demons (2009)
Angels in the Outfield (1994),Angels in the Outfield (1994)
Anger Management (2003),Anger Management (2003)
Animal House (1978),Animal House (1978)
"Animal, The (2001)","Animal, The (2001)"
"Animatrix, The (2003)","Animatrix, The (2003)"
Annie (1982),Annie (1982)
Annie Hall (1977),Annie Hall (1977)
Another Stakeout (1993),Another Stakeout (1993)
Ant-Man (2015),Ant-Man (2015)
Antz (1998),Antz (1998)
Any Given Sunday (1999),Any Given Sunday (1999)
"Apartment, The (1960)","Apartment, The (1960)"
Apocalypse Now (1979),Apocalypse Now (1979)
Apocalypto (2006),Apocalypto (2006)
Apollo 13 (1995),Apollo 13 (1995)
Arachnophobia (1990),Arachnophobia (1990)
Argo (2012),Argo (2012)
"Aristocats, The (1970)","Aristocats, The (1970)"
Arlington Road (1999),Arlington Road (1999)
Armageddon (1998),Armageddon (1998)
Army of Darkness (1993),Army of Darkness (1993)
Around the World in 80 Days (1956),Around the World in 80 Days (1956)
Arrival (2016),Arrival (2016)
"Arrival, The (1996)","Arrival, The (1996)"
Arsenic and Old Lace (1944),Arsenic and Old Lace (1944)
As Good as It Gets (1997),As Good as It Gets (1997)
Assassins (1995),Assassins (1995)
"Astronaut's Wife, The (1999)","Astronaut's Wife, The (1999)"
Atlantis: The Lost Empire (2001),Atlantis: The Lost Empire (2001)
Atonement (2007),Atonement (2007)
Austin Powers in Goldmember (2002),Austin Powers in Goldmember (2002)
Austin Powers: International Man of Mystery (1997),Austin Powers: International Man of Mystery (1997)
Austin Powers: The Spy Who Shagged Me (1999),Austin Powers: The Spy Who Shagged Me (1999)
Autumn in New York (2000),Autumn in New York (2000)
Avatar (2009),Avatar (2009)
"Avengers, The (1998)","Avengers, The (1998)"
"Avengers, The (2012)","Avengers, The (2012)"
Avengers: Age of Ultron (2015),Avengers: Age of Ultron (2015)
Avengers: Infinity War - Part I (2018),Avengers: Infinity War - Part I (2018)
"Aviator, The (2004)","Aviator, The (2004)"
Awakenings (1990),Awakenings (1990)
BASEketball (1998),BASEketball (1998)
Babe (1995),Babe (1995)
Babe: Pig in the City (1998),Babe: Pig in the City (1998)
Babel (2006),Babel (2006)
Baby Mama (2008),Baby Mama (2008)
"Bachelor, The (1999)","Bachelor, The (1999)"
Back to School (1986),Back to School (1986)
Back to the Future (1985),Back to the Future (1985)
Back to the Future Part II (1989),Back to the Future Part II (1989)
Back to the Future Part III (1990),Back to the Future Part III (1990)
Backdraft (1991),Backdraft (1991)
Bad Boys (1995),Bad Boys (1995)
Bad Boys II (2003),Bad Boys II (2003)
Bad Santa (2003),Bad Santa (2003)
Badlands (1973),Badlands (1973)
Bambi (1942),Bambi (1942)
Bananas (1971),Bananas (1971)
"Bank Job, The (2008)","Bank Job, The (2008)"
Barb Wire (1996),Barb Wire (1996)
Barcelona (1994),Barcelona (1994)
Barton Fink (1991),Barton Fink (1991)
Basic Instinct (1992),Basic Instinct (1992)
